Kategorie A;12;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
Husièková;Zdeòka;Skvìlá kola ;48;42;0;46;42;37;46;40;44;44;65;54;50;60;0;55
Chmurová;Jana;Team Forman Cinelli;44;44;44;44;39;42;44;48;0;42;58;56;60;55;0;48
Jaklová;Ivana;CK Kolík Hobby Bohumín A;0;0;0;0;48;38;50;42;46;46;70;60;55;0;0;46
Lantová ;Romana;Cyklistika pro všechny Krnov;0;0;0;0;38;0;0;0;0;0;54;0;0;0;0;0
Lantová ;Romana;Cyklistika pro všechny Krnov;0;0;0;0;36;0;0;0;0;0;50;0;0;0;0;0
Pechová;Vlaïka;KILPI RACING TEAM OSTRAVA ;60;0;48;0;46;0;55;46;0;0;60;0;0;0;60;0
Pytlová;Markéta;SK Bagbike ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rygelová;Markéta;KILPI RACING TEAM OSTRAVA ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sladkovská;Petra;CK Continental Frenštát p. R.  2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Weglarzová;Kristına;CK Feso Petøvald;0;38;39;37;35;0;0;38;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;
Kategorie M;12;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
Czernek;Pawel;TJ T Tøinec;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hašek;Max;SK Bagbike;0;0;38;0;0;0;0;0;0;0;58;48;0;0;0;0
Huráè;Vojtìch;CK Feso Petøvald;0;50;0;40;55;33;0;40;39;0;56;46;0;44;50;44
Kotra;Vojtìch;CK Feso Petøvald;0;48;37;42;50;29;0;39;37;0;65;0;0;46;46;42
