Kategorie A;13;;;;;;;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;Stonava;GPF;MJV;ML60;Paskov;Petøvald;Ustron
Baèík;Pavel;2K-BIKE CLUB Odry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lajèok;Jiøí;"CK Kolík Hobby Bohumín ""B""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Schichel;Tomáš;YOGI Racing Ostrava 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Slezák;Josef;FORCE KCK ZLÍN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Šimoòák;Marek;ACK Stará Ves nad Ondøejnicí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Švantner ;Bohuslav;Racing Olešná;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;
Kategorie E;13;;;;;;;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;Stonava;GPF;MJV;ML60;Paskov;Petøvald;Ustron
Danìèek;Pavel;Cyklistika pro všechny Krnov;60;60;39;50;44;55;60;60;60;60;70;55;75;54;60;48;55;55;55;48;48;60
Zemánek;Lubomír;2K-BIKE CLUB Odry;0;0;60;55;55;60;65;50;50;55;58;50;70;0;52;0;50;50;0;0;50;0
Toman;Vladislav;Cyklokramo Suchdol nad Odrou;0;0;55;0;0;0;0;55;55;50;65;60;63;0;35;0;60;60;60;60;55;0
Misina;Andrzej;ACK Stará Ves nad Ondøejnicí;48;55;48;46;34;50;45;46;44;0;45;48;59;0;45;33;0;0;0;50;42;0
Tešnar;Tomáš;YOGI Racing Ostrava 1;46;0;44;0;39;0;50;44;46;48;56;44;54;39;44;37;37;0;44;38;38;40
Mottl;Bohumír;"CK Kolík Hobby Bohumín ""A""";0;0;36;0;35;48;46;40;0;0;49;46;52;0;0;42;48;44;48;44;44;0
Ertel;Jiøí;YOGI Racing Ostrava 2;0;48;40;0;42;39;47;36;38;0;43;38;49;40;37;40;38;40;42;0;34;0
Veselı;Petr;TJ T Tøinec  ;42;0;37;0;32;40;44;0;0;40;46;42;51;0;0;36;0;42;46;0;39;0
Hlavatík;Ladislav;Racing Olešná;50;0;34;0;46;0;52;42;0;44;52;0;55;0;0;50;39;0;0;0;37;0
Zdanowicz;Marek;CZERNICA MASTERS;0;0;32;39;48;42;48;0;0;0;54;0;0;46;0;46;46;0;50;0;46;42
Jankowski;Aleksander;ACK Stará Ves nad Ondøejnicí;44;0;0;37;38;44;49;39;42;0;47;0;57;0;0;0;0;46;0;46;0;0
Homola;Petr;YOGI Racing Ostrava 2;0;0;0;0;28;35;38;37;39;39;42;39;46;0;0;30;32;36;38;37;30;0
Pìgøimek;Milan;CK Orlík Orlová;0;0;0;0;30;0;42;0;37;38;41;40;47;0;0;31;35;38;39;34;32;0
Savka;Miroslav;CK Orlík Orlová;0;0;29;0;27;0;41;35;36;37;0;0;48;0;0;34;33;39;40;40;31;0
Mrnùštík;Josef;Cyklotech-Pro a Mrnùštík;0;46;30;0;29;33;39;0;35;0;38;36;45;0;0;28;30;0;0;35;29;0
Mrozek;Jiøí;"CK Kolík Hobby Bohumín ""B""";0;0;35;0;36;46;0;38;40;42;0;0;50;0;0;39;44;0;0;42;40;0
Pekarèík;Jiøí;Cyklokramo Suchdol nad Odrou;38;44;31;0;26;30;37;0;0;0;39;37;0;0;0;25;0;35;35;39;0;0
Schneider;Rudolf;CK Continental Frenštát p.R.  2;0;50;38;0;37;0;54;48;48;0;0;0;53;0;0;44;42;0;0;0;0;0
Masnı;Milan;Racing Olešná;0;0;0;0;50;0;70;0;0;0;60;0;65;70;0;60;0;0;0;0;0;0
Mrakvia;Zdenìk;TJ T Tøinec;0;0;27;0;25;31;36;34;0;36;40;0;0;0;0;27;29;0;36;0;28;0
Leszczynski;Ksawery;"CK Kolík Hobby Bohumín ""B""";0;0;0;0;60;0;58;0;0;0;0;0;0;43;0;55;0;0;0;0;35;0
Skotnica;Josef;SKP Opava;0;42;26;0;0;0;0;0;0;0;0;35;44;0;0;0;28;34;34;0;0;0
Pavlík;Jiøí;CK Continental Frenštát p.R.  1;0;0;50;0;40;0;56;0;0;0;48;0;33;0;0;0;0;0;0;0;0;0
Bluszcz;Stefan;Lowell Pro Šafrata Team Bohumín;0;0;33;25;33;0;0;0;0;0;0;0;0;0;0;35;31;37;0;0;0;0
Kubík;Josef;"CK Kolík Hobby Bohumín ""B""";0;0;0;0;31;32;40;33;34;0;0;0;0;0;0;0;0;0;0;0;0;0
Baa;Vladimír;KCK cykloteam Zlín;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;55;60;0
Glogar;Jan;YOGI Racing Ostrava 2;0;0;0;0;24;0;0;0;0;0;0;0;0;27;0;26;0;0;0;36;0;0
Pilecki;Stanislav;Cykloservis MB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0
Bárta;Miroslav;SK Bagbike Rubing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rovenskı;Ladislav;YOGI Racing Ostrava 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;
Kategorie ;13;;;;;;;;;;;;;;;;;;;;;;;
