Kategorie A;13;;;;;;;;;;;;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;GPF;Stonava;ML60;MJV;Paskov;BÏl·
StanÏk;Pavel;Cyklosport P¯ikryl Star· Ves n. Ond¯ejnicÌ;0;0;0;0;0;0;0;0;0;0;0;0;25;0;38;0;25;0;0;0;0;0;0
RuËka;Richard;UCJH;0;0;0;0;0;0;0;0;0;0;0;0;36;0;45;0;0;0;0;0;0;0;0
Hendrych;David;BIKESTYLE.CZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;25;0;23
Maksant;Jind¯ich;IN LINE cycling Team;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0
Karmelka;Tom·ö;BIKESTYLE.CZ;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;31;0;0;0
KARMELITA;Tom·ö;Loko Krnov;28;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0
Zajac;Aleksander;Bike Atelier Team;0;0;0;0;0;0;0;0;35;0;0;0;32;0;0;0;0;0;0;0;0;0;0
MalÌk;Roman;Racing Oleön·;0;0;0;0;39;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wyszynsky;Daruiusz;;0;0;0;0;0;0;0;0;0;0;28;0;0;38;0;0;0;0;0;0;0;0;0
Baron;Pawel;;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;37;0;0
