Kategorie A;13;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Ustroò;BohÈas;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.
Sieja;Jiøí;YOGI Racing Ostrava 2;0;0;0;0;0;0;0;0;0;0;0
Skovajsa;Michal;;0;0;0;0;0;0;0;0;0;0;30
SMRKTA;Ladislav;Silnı Team Unièov;0;42;0;0;0;0;0;0;0;0;0
Solnica;Miroslaw;SUPREME STYLE MATES;0;0;0;0;0;0;0;0;42;0;0
Støíbrnı;Libor;Hup na kolo;0;0;0;0;0;40;0;0;0;0;0
SUCHARDA;Pavel;Cycling Brno;34;0;0;0;0;0;0;0;0;0;0
Swaczyna;Patrik;CK Feso Petøvald;35;35;0;36;0;39;0;0;39;48;0
SZAFRANIEC;Piotr;MTB-Silesia Rybník;0;37;0;0;0;0;0;0;0;0;0
Šíma;Martin;Max Cursor;0;0;0;0;0;0;0;0;0;0;48
Šimeèek;Radim;Profily Midar Pøíbor;0;31;0;0;31;0;0;26;24;35;0
ŠVEHLA;Miloslav;Bike Sport Opava;55;0;0;0;0;0;0;0;0;0;0
UCHYTIL;Alois;CykloKoalice Zlaté Hory a Píseèná;23;0;0;0;0;0;0;0;0;0;0
Uher;Libor;ADI Outdoor;0;0;0;0;0;0;0;0;27;0;0
Vavreèka;Lumír;RC Sviadnov;0;0;0;0;0;0;0;0;0;0;32
Vodièka;Václav;CYCLING BRNO BAGBIKE;0;0;0;0;55;0;0;46;0;0;0
Wilhelm;Jaroslav;"CK Kolík Hobby Bohumín ""A""";28;33;0;0;32;29;0;27;0;37;37
Woznica;Jaroslav;"CK KOLÍK HOBBY Bohumín ""A""";0;0;0;0;0;34;0;0;0;0;39
ZAJÍC;Libor;SportComplex Bøeclav;50;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;
Kategorie D;13;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Ustroò;BohÈas;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.
Adamèík;Miroslav;Cyklokramo Suchdol nad Odrou;0;39;0;0;0;0;0;0;42;44;44
Andrzejewski;Andrzej;;0;0;0;0;0;0;0;31;21;0;0
Baèík;Pavel;2K-BIKE CLUB Odry;0;0;0;0;0;0;0;0;0;0;0
Baier;Jan;Lowell Pro Šafrata Team Bohumín;0;50;0;0;0;0;0;0;28;0;0
Baran;Petr;CYCLING BRNO BAGBIKE;48;44;0;44;44;0;0;0;0;0;0
Beneš;Petr;YOGI Racing Ostrava 1;40;0;0;0;48;38;0;50;37;46;39
Èejka;Petr;Cyklo team KOLARNA;30;0;0;0;0;0;0;0;0;0;0
